title,geo3x3,url,image,description
杉田玄白生誕の地 矢来公園,E9139683375976491342,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap1.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/003_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap1.html>ふくいの足跡マップ 1</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139683375976491342>E9139683375976491342</a>
岡倉天心の墓所 染井霊園,E9139683925494749317,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap2.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/004_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap2.html>ふくいの足跡マップ 2</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139683925494749317>E9139683925494749317</a>
橋本左内の墓所 回向院,E9139691589537966931,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap3.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/005_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap3.html>ふくいの足跡マップ 3</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139691589537966931>E9139691589537966931</a>
岡倉天心の旧居跡 岡倉天心記念公園,E9139691482544969656,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap4.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/007_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap4.html>ふくいの足跡マップ 4</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139691482544969656>E9139691482544969656</a>
梅田雲浜の墓所 海禅寺,E9139691519887475533,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap5.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/008_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap5.html>ふくいの足跡マップ 5</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139691519887475533>E9139691519887475533</a>
越前福井藩邸所在地 浅草福井町・新福井町,E91396912723,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap6.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/009_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap6.html>ふくいの足跡マップ 6</a><br>Geo3x3: <a href=https://geo3x3.com/#E91396912723>E91396912723</a>
福井藩江戸上屋敷跡,E9139691128572531347,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap7.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/016.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap7.html>ふくいの足跡マップ 7</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139691128572531347>E9139691128572531347</a>
福井藩江戸浜屋敷跡 越前堀公園,E9139667877263459391,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap8.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/011_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap8.html>ふくいの足跡マップ 8</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139667877263459391>E9139667877263459391</a>
杉田玄白の墓所 久遠山栄閑院,E9139659965463614723,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap9.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/012_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap9.html>ふくいの足跡マップ 9</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139659965463614723>E9139659965463614723</a>
煉瓦銀座之碑 東京府知事・由利公正,E9139667786498595852,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap10.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/013_s.jpg,<a href=https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap10.html>ふくいの足跡マップ 10</a><br>Geo3x3: <a href=https://geo3x3.com/#E9139667786498595852>E9139667786498595852</a>
