id,title,geo3x3,url,image
1,杉田玄白生誕の地 矢来公園,E9139683375976491342,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap1.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/003_s.jpg
2,岡倉天心の墓所 染井霊園,E9139683925494749317,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato2.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/004_s.jpg
3,橋本左内の墓所 回向院,E9139691589537966931,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato3.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/005_s.jpg
4,岡倉天心の旧居跡 岡倉天心記念公園,E9139691482544969656,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato4.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/007_s.jpg
5,梅田雲浜の墓所 海禅寺,E9139691519887475533,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato5.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/008_s.jpg
6,越前福井藩邸所在地 浅草福井町・新福井町,E91396912723,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato6.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/009_s.jpg
7,福井藩江戸上屋敷跡,E9139691128572531347,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato7.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/016.jpg
8,福井藩江戸浜屋敷跡 越前堀公園,E9139667877263459391,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato8.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/011_s.jpg
9,杉田玄白の墓所 久遠山栄閑院,E9139659965463614723,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinjoasiato9.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/012_s.jpg
10,煉瓦銀座之碑 東京府知事・由利公正,E9139667786498595852,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato10.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/013_s.jpg
11,吉良邸跡（本所松坂町公園）,E9139691255823469295,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap11.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/014_s.jpg
12,福井藩本多家江戸屋敷（図）,E9139691255826166993,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiatomap12.html,https://www.pref.fukui.lg.jp/doc/tokyo/fukuinoasiato/fukuinoasiato_d/img/015_s.jpg
