title,geo3x3
杉田玄白生誕の地 矢来公園,35.70323633626683, 139.73098607555022
岡倉天心の墓所 染井霊園,35.73883328232265, 139.7385334260662
橋本左内の墓所 回向院,35.73217048931986, 139.79756885561588
岡倉天心の旧居跡 岡倉天心記念公園,35.72630300925605, 139.76640819859884
梅田雲浜の墓所 海禅寺,35.71554758567705, 139.78797964346836
越前福井藩邸所在地 浅草福井町・新福井町,E91396912723
福井藩江戸上屋敷跡,35.68684093972121, 139.76647429122383
福井藩江戸浜屋敷跡 越前堀公園,35.676362311142405, 139.7824652710633
杉田玄白の墓所 久遠山栄閑院,35.665170200404084, 139.74796918718255
煉瓦銀座之碑 東京府知事・由利公正,35.67490519342279, 139.76918726309196
吉良邸跡（本所松坂町公園）,35.69329752057192, 139.79433121492326
福井藩本多家江戸屋敷（図）,35.69337116463265, 139.7943327213133
